Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
C,/libavcodec/012v.c,012v.c,159,117,21,21,19,5147,0
C,/libavformat/4xm.c,4xm.c,387,292,42,53,62,12503,0
C,/libavcodec/4xm.c,4xm.c,1030,836,40,154,174,34426,0
C,/libavcodec/8bps.c,8bps.c,188,128,37,23,18,6114,0
C,/libavcodec/8svx.c,8svx.c,216,137,51,28,21,6905,0
Markdown,/INSTALL.md,INSTALL.md,17,11,0,6,0,595,0
Markdown,/LICENSE.md,LICENSE.md,105,90,0,15,0,3665,0
Makefile,/libavcodec/neon/Makefile,Makefile,1,1,0,0,0,54,0
Makefile,/libavdevice/Makefile,Makefile,73,61,3,9,0,3842,0
Makefile,/libavformat/Makefile,Makefile,539,522,4,13,0,30996,0
Makefile,/libavutil/ppc/Makefile,Makefile,4,3,0,1,0,223,0
Makefile,/libavresample/arm/Makefile,Makefile,5,3,0,2,0,129,0
Makefile,/libswresample/aarch64/Makefile,Makefile,5,3,0,2,0,187,0
Makefile,/libavresample/x86/Makefile,Makefile,9,7,0,2,0,498,0
Makefile,/libavcodec/alpha/Makefile,Makefile,10,10,0,0,0,702,0
Makefile,/libavcodec/x86/Makefile,Makefile,161,144,8,9,0,9098,0
Makefile,/libswresample/arm/Makefile,Makefile,5,3,0,2,0,129,0
Makefile,/libavutil/Makefile,Makefile,194,176,1,17,0,12614,0
Makefile,/libavcodec/aarch64/Makefile,Makefile,28,24,0,4,0,1680,0
Makefile,/libswresample/x86/Makefile,Makefile,9,7,0,2,0,385,0
Makefile,/libavresample/Makefile,Makefile,18,13,1,4,0,857,0
Makefile,/doc/Makefile,Makefile,182,140,0,42,0,6729,0
Makefile,/libavcodec/mips/Makefile,Makefile,20,20,0,0,0,1456,0
Makefile,/libswscale/arm/Makefile,Makefile,4,0,3,1,0,119,0
Makefile,/libavfilter/Makefile,Makefile,257,234,3,20,0,14643,0
Makefile,/libswscale/x86/Makefile,Makefile,13,9,0,4,0,631,0
Makefile,/Makefile,Makefile,199,143,5,51,0,5840,0
Makefile,/libavutil/aarch64/Makefile,Makefile,4,3,0,1,0,183,0
Makefile,/doc/examples/Makefile,Makefile,43,33,2,8,0,1619,0
Makefile,/libavfilter/x86/Makefile,Makefile,19,18,0,1,0,1228,0
Makefile,/libavutil/arm/Makefile,Makefile,8,6,0,2,0,446,0
Makefile,/libavresample/aarch64/Makefile,Makefile,7,5,0,2,0,337,0
Makefile,/libswresample/Makefile,Makefile,24,17,1,6,0,715,0
Makefile,/libavutil/x86/Makefile,Makefile,12,9,0,3,0,669,0
Makefile,/libswscale/ppc/Makefile,Makefile,3,3,0,0,0,222,0
Makefile,/libavcodec/ppc/Makefile,Makefile,31,27,2,2,0,1768,0
Makefile,/libavutil/mips/Makefile,Makefile,1,1,0,0,0,30,0
Makefile,/tests/Makefile,Makefile,225,179,1,45,0,8278,0
Makefile,/libavcodec/Makefile,Makefile,928,885,11,32,0,53878,0
Makefile,/libavcodec/arm/Makefile,Makefile,145,114,14,17,0,7866,0
Makefile,/libswscale/Makefile,Makefile,24,17,1,6,0,982,0
Makefile,/libpostproc/Makefile,Makefile,12,7,1,4,0,224,0
Markdown,/README.md,README.md,40,28,0,12,0,1552,0
C,/libavformat/a64.c,a64.c,68,43,20,5,2,2073,0
C Header,/libavcodec/a64colors.h,a64colors.h,52,22,25,5,0,1483,0
C,/libavcodec/a64multienc.c,a64multienc.c,424,310,63,51,61,14315,0
C Header,/libavcodec/a64tables.h,a64tables.h,150,116,27,7,0,3347,0
C Header,/libavcodec/aac.h,aac.h,336,202,94,40,0,11000,0
C Header,/libavcodec/arm/aac.h,aac.h,143,115,19,9,0,5922,0
Makefile,/tests/fate/aac.mak,aac.mak,123,92,0,31,0,5145,0
C,/libavcodec/aac_ac3_parser.c,aac_ac3_parser.c,114,77,27,10,23,3957,0
C Header,/libavcodec/aac_ac3_parser.h,aac_ac3_parser.h,66,36,21,9,0,2129,0
C,/libavcodec/aac_adtstoasc_bsf.c,aac_adtstoasc_bsf.c,119,79,24,16,11,4174,0
C,/libavcodec/aac_parser.c,aac_parser.c,69,41,21,7,1,2188,0
C,/libavcodec/aac_tablegen.c,aac_tablegen.c,37,11,21,5,0,1124,0
C Header,/libavcodec/aac_tablegen.h,aac_tablegen.h,42,16,21,5,1,1322,0
C Header,/libavcodec/aac_tablegen_decl.h,aac_tablegen_decl.h,36,11,21,4,0,1289,0
C,/libavcodec/aacadtsdec.c,aacadtsdec.c,70,38,23,9,4,2594,0
C Header,/libavcodec/aacadtsdec.h,aacadtsdec.h,54,17,31,6,0,1876,0
C,/libavcodec/aaccoder.c,aaccoder.c,1138,1010,73,55,233,44998,0
C,/libavcodec/mips/aaccoder_mips.c,aaccoder_mips.c,2498,2141,62,295,152,103745,0
C,/libavformat/aacdec.c,aacdec.c,115,76,26,13,18,3597,0
C,/libavcodec/aacdec.c,aacdec.c,3531,2772,395,364,769,125817,0
C,/libavcodec/mips/aacdec_mips.c,aacdec_mips.c,831,703,73,55,40,40361,0
C Header,/libavcodec/mips/aacdec_mips.h,aacdec_mips.h,249,178,54,17,1,11232,0
C Header,/libavcodec/aacdectab.h,aacdectab.h,104,53,37,14,0,3594,0
C,/libavcodec/aacenc.c,aacenc.c,835,634,88,113,117,29323,0
C Header,/libavcodec/aacenc.h,aacenc.h,97,58,23,16,0,3310,0
C,/libavcodec/aacps.c,aacps.c,974,841,65,68,137,35941,0
C Header,/libavcodec/aacps.h,aacps.h,84,55,21,8,0,3252,0
C,/libavcodec/aacps_tablegen.c,aacps_tablegen.c,93,62,21,10,2,2957,0
C Header,/libavcodec/aacps_tablegen.h,aacps_tablegen.h,217,178,23,16,14,8630,0
C,/libavcodec/aacpsdata.c,aacpsdata.c,163,118,22,23,0,6229,0
C,/libavcodec/aacpsdsp.c,aacpsdsp.c,216,175,21,20,15,7310,0
C Header,/libavcodec/aacpsdsp.h,aacpsdsp.h,54,30,19,5,0,2274,0
C,/libavcodec/arm/aacpsdsp_init_arm.c,aacpsdsp_init_arm.c,57,33,19,5,1,2543,0
C,/libavcodec/mips/aacpsdsp_mips.c,aacpsdsp_mips.c,459,376,57,26,4,23767,0
Assembly,/libavcodec/arm/aacpsdsp_neon.S,aacpsdsp_neon.S,272,247,19,6,0,9927,0
C,/libavcodec/aacpsy.c,aacpsy.c,965,695,161,109,135,37109,0
C Header,/libavcodec/mips/aacpsy_mips.h,aacpsy_mips.h,230,162,53,15,6,11554,0
C,/libavcodec/aacsbr.c,aacsbr.c,1771,1456,105,210,321,66700,0
C Header,/libavcodec/aacsbr.h,aacsbr.h,51,14,31,6,0,1849,0
C,/libavcodec/mips/aacsbr_mips.c,aacsbr_mips.c,618,499,56,63,42,27058,0
C Header,/libavcodec/mips/aacsbr_mips.h,aacsbr_mips.h,493,420,56,17,11,30295,0
C,/libavcodec/aacsbr_tablegen.c,aacsbr_tablegen.c,39,13,21,5,0,1246,0
C Header,/libavcodec/aacsbr_tablegen.h,aacsbr_tablegen.h,129,102,22,5,2,6796,0
C Header,/libavcodec/aacsbrdata.h,aacsbrdata.h,534,479,28,27,0,32306,0
C,/libavcodec/aactab.c,aactab.c,1729,1573,80,76,0,83703,0
C Header,/libavcodec/aactab.h,aactab.h,81,28,39,14,0,2619,0
C,/libavcodec/aandcttab.c,aandcttab.c,47,21,22,4,0,1918,0
C Header,/libavcodec/aandcttab.h,aandcttab.h,32,6,21,5,0,1025,0
C,/libavcodec/aasc.c,aasc.c,162,116,25,21,12,4616,0
C,/libavcodec/ac3.c,ac3.c,231,167,43,21,42,7956,0
C Header,/libavcodec/ac3.h,ac3.h,267,153,80,34,0,8777,0
Makefile,/tests/fate/ac3.mak,ac3.mak,83,62,0,21,0,4005,0
C,/libavcodec/ac3_parser.c,ac3_parser.c,213,141,34,38,36,6960,0
C Header,/libavcodec/ac3_parser.h,ac3_parser.h,44,7,32,5,0,1723,0
C,/libavcodec/ac3dec.c,ac3dec.c,1644,1257,250,137,397,62070,0
C,/libavformat/ac3dec.c,ac3dec.c,124,93,22,9,38,4169,0
C Header,/libavcodec/ac3dec.h,ac3dec.h,261,139,94,28,0,13924,0
