Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C++,7772544,5875083,756017,1141444,562967,282850908,28919,0
C Header,3080317,1810896,733609,535812,37506,118646743,26406,0
HTML,2475352,2192296,51083,231973,0,104453652,49043,0
JavaScript,2059151,1371627,471397,216127,169117,81656167,11453,0
Plain Text,1888358,1816307,0,72051,0,109159136,44090,0
C,1378549,976008,284810,117731,181471,44585895,1437,0
Python,680437,499484,104484,76469,52784,24893018,3556,0
Java,667207,443875,137627,85705,50019,26250611,3113,0
JSON,546777,544276,0,2501,0,20951415,3210,0
Objective C++,332104,241344,39341,51419,20648,12045676,1660,0
Assembly,199956,186911,1539,11506,107,3713096,144,0
GN,198274,166414,15604,16256,8298,6506153,1765,0
XML,193734,159853,10107,23774,0,28059224,1633,0
Shell,159141,129821,16811,12509,11147,4686487,263,0
SVG,153609,133510,12591,7508,2225,18554668,2125,0
CSS,86476,67173,6070,13233,0,1969017,1352,0
IDL,81172,27595,44981,8596,3,3331741,1444,0
Objective C,65883,51986,6219,7678,4201,2419958,88,0
m4,55351,38363,11660,5328,0,1958911,39,0
C#,52032,37459,9804,4769,5647,2052671,144,0
Perl,50800,37487,7215,6098,4223,1415044,171,0
Autoconf,47885,40696,3616,3573,3924,2016013,122,0
Markdown,47395,35718,0,11677,0,1927146,332,0
Protocol Buffers,37057,17001,14341,5715,0,1555563,373,0
TCL,35284,26966,5412,2906,2924,1442838,118,0
License,35080,29344,0,5736,0,1865602,224,0
C++ Header,30630,24531,3046,3053,1512,924698,71,0
Makefile,28191,21121,4201,2869,2691,1513556,41,0
ReStructuredText,24586,18478,0,6108,0,960440,70,0
Document Type Definition,18948,15512,0,3436,0,518692,28,0
Patch,18283,17293,0,990,0,656805,83,0
PHP,15558,13146,1046,1366,1699,490002,625,0
Go Template,10553,9159,0,1394,0,385048,116,0
BASH,4677,2902,1145,630,389,140936,59,0
Happy,3960,3575,0,385,0,130326,5,0
Ruby,3729,2930,283,516,351,118637,15,0
SQL,3426,3226,145,55,0,245935,97,0
Sass,3231,2156,642,433,0,66492,32,0
MSBuild,2869,2359,508,2,42,176196,20,0
Batch,2621,1403,832,386,86,80321,27,0
Extensible Stylesheet Language Transformations,2173,2044,0,129,0,63304,64,0
Windows Resource-Definition Script,1815,943,653,219,0,58975,16,0
Jinja,1141,1039,3,99,55,45451,26,0
CMake,1034,886,57,91,34,42059,17,0
XML Schema,908,743,0,165,0,27862,8,0
YAML,884,794,53,37,0,35451,15,0
Go,790,631,94,65,159,20109,7,0
Emacs Lisp,715,418,172,125,15,26684,5,0
DOT,501,376,46,79,0,17751,8,0
Cython,466,334,49,83,43,12878,7,0
Swift,460,351,58,51,0,20550,1,0
Vim Script,438,233,139,66,14,16068,8,0
Module-Definition,383,310,32,41,0,9289,12,0
Bazel,345,304,4,37,39,9685,3,0
Dockerfile,219,125,56,38,23,7339,5,0
AppleScript,212,116,59,37,7,6973,12,0
Android Interface Definition Language,166,53,73,40,0,5727,11,0
Rakefile,103,81,5,17,8,2654,1,0
Swig,98,84,0,14,0,3312,1,0
nuspec,91,89,2,0,0,5178,2,0
CSV,68,68,0,0,0,9172,10,0
Templ,67,55,3,9,0,2142,1,0
INI,56,37,11,8,0,1643,2,0
sed,48,17,20,11,0,1677,2,0
R,47,37,5,5,1,1842,1,0
TypeScript,23,21,0,2,1,352,2,0
Properties File,22,3,17,2,0,857,3,0
Handlebars,20,16,0,4,0,1059,1,0
CoffeeScript,7,6,0,1,0,163,1,0
Gemfile,3,2,0,1,0,39,1,0
DM,1,1,0,0,1,60,1,0
Systemd,1,1,0,0,0,61,1,0
