Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
HTML,/docs/manual/developer/API.html,API.html,1153,1014,3,136,0,49346,0
HTML,/docs/manual/misc/API.html,API.html,1153,1014,3,136,0,49346,0
HTML,/docs/manual/misc/FAQ-A.html,FAQ-A.html,279,222,45,12,0,9373,0
HTML,/docs/manual/misc/FAQ-B.html,FAQ-B.html,378,320,45,13,0,14722,0
HTML,/docs/manual/misc/FAQ-C.html,FAQ-C.html,273,217,45,11,0,10263,0
HTML,/docs/manual/misc/FAQ-D.html,FAQ-D.html,335,274,45,16,0,13103,0
HTML,/docs/manual/misc/FAQ-E.html,FAQ-E.html,598,535,45,18,0,22555,0
HTML,/docs/manual/misc/FAQ-F.html,FAQ-F.html,524,462,45,17,0,19715,0
HTML,/docs/manual/misc/FAQ-G.html,FAQ-G.html,371,316,45,10,0,14299,0
HTML,/docs/manual/misc/FAQ-H.html,FAQ-H.html,265,207,45,13,0,9951,0
HTML,/docs/manual/misc/FAQ-I.html,FAQ-I.html,215,162,45,8,0,7904,0
HTML,/docs/manual/misc/FAQ.html,FAQ.html,111,37,71,3,0,5480,0
License,/docs/manual/LICENSE,LICENSE,59,56,0,3,0,2848,0
C Header,/include/ap_listen.h,ap_listen.h,86,22,58,6,0,3905,0
C Header,/include/ap_mpm.h,ap_mpm.h,164,21,134,9,0,7696,0
C Header,/srclib/expat-lite/asciitab.h,asciitab.h,62,32,29,1,0,2916,0
C,/os/beos/beosd.c,beosd.c,227,125,75,27,32,7257,0
C Header,/os/beos/beosd.h,beosd.h,82,19,57,6,0,3511,0
Shell,/build/binbuild.sh,binbuild.sh,294,273,7,14,174,11771,0
HTML,/docs/manual/bind.html,bind.html,135,115,3,17,0,4635,0
HTML,/docs/manual/cgi_path.html,cgi_path.html,93,75,3,15,0,3762,0
HTML,/docs/manual/misc/client_block_api.html,client_block_api.html,87,69,3,15,0,3245,0
HTML,/docs/manual/misc/compat_notes.html,compat_notes.html,126,103,3,20,0,4836,0
C,/server/connection.c,connection.c,276,110,123,43,22,9597,0
HTML,/docs/manual/content-negotiation.html,content-negotiation.html,588,493,3,92,0,22509,0
HTML,/docs/manual/mod/core.html,core.html,3275,2847,69,359,0,117313,0
HTML,/docs/manual/custom-error.html,custom-error.html,177,155,2,20,0,5449,0
HTML,/docs/manual/misc/custom_errordocs.html,custom_errordocs.html,431,401,3,27,0,19331,0
HTML,/docs/manual/misc/descriptors.html,descriptors.html,155,132,3,20,0,7132,0
HTML,/docs/manual/vhosts/details.html,details.html,373,300,3,70,0,16138,0
HTML,/docs/manual/vhosts/details_1_2.html,details_1_2.html,396,327,3,66,0,15843,0
HTML,/docs/manual/mod/directive-dict.html,directive-dict.html,262,250,3,9,0,8201,0
HTML,/docs/manual/mod/directives.html,directives.html,223,218,3,2,0,11854,0
HTML,/docs/manual/dns-caveats.html,dns-caveats.html,189,155,3,31,0,8034,0
HTML,/docs/manual/dso.html,dso.html,392,340,3,49,0,17133,0
HTML,/docs/manual/ebcdic.html,ebcdic.html,497,430,3,64,0,13418,0
HTML,/docs/manual/env.html,env.html,64,55,3,6,0,1993,0
HTML,/docs/manual/vhosts/examples.html,examples.html,512,428,3,81,0,15228,0
Perl,/docs/manual/expand.pl,expand.pl,104,35,64,5,2,4065,0
HTML,/srclib/expat-lite/expat.html,expat.html,73,55,0,18,0,2786,0
HTML,/docs/manual/vhosts/fd-limits.html,fd-limits.html,59,51,3,5,0,2029,0
HTML,/docs/manual/misc/fin_wait_2.html,fin_wait_2.html,324,284,3,37,0,15397,0
HTML,/docs/manual/misc/footer.html,footer.html,8,6,0,2,0,186,0
HTML,/docs/manual/footer.html,footer.html,6,5,0,1,0,125,0
HTML,/docs/manual/mod/footer.html,footer.html,8,6,0,2,0,186,0
HTML,/docs/manual/vhosts/footer.html,footer.html,8,6,0,2,0,186,0
HTML,/docs/manual/handler.html,handler.html,195,166,3,26,0,6207,0
C,/srclib/expat-lite/hashtable.c,hashtable.c,151,109,30,12,29,3603,0
C Header,/srclib/expat-lite/hashtable.h,hashtable.h,69,28,29,12,0,2004,0
HTML,/docs/manual/mod/header.html,header.html,6,6,0,0,0,134,0
HTML,/docs/manual/misc/header.html,header.html,6,6,0,0,0,134,0
HTML,/docs/manual/vhosts/header.html,header.html,6,6,0,0,0,134,0
HTML,/docs/manual/header.html,header.html,6,6,0,0,0,131,0
HTML,/docs/manual/vhosts/host.html,host.html,172,143,3,26,0,7554,0
HTML,/docs/manual/misc/howto.html,howto.html,208,169,3,36,0,7547,0
C Header,/include/http_connection.h,http_connection.h,80,16,57,7,0,3347,0
C Header,/srclib/expat-lite/iasciitab.h,iasciitab.h,63,32,30,1,0,2986,0
HTML,/docs/manual/misc/index.html,index.html,151,145,3,3,0,4482,0
HTML,/docs/manual/mod/index.html,index.html,122,115,3,4,0,4959,0
HTML,/docs/manual/vhosts/index.html,index.html,65,51,3,11,0,2405,0
HTML,/docs/manual/install-tpf.html,install-tpf.html,274,266,0,8,0,11881,0
HTML,/docs/manual/install.html,install.html,270,213,3,54,0,10276,0
HTML,/docs/manual/invoking.html,invoking.html,220,174,3,43,0,8579,0
HTML,/docs/manual/vhosts/ip-based.html,ip-based.html,140,123,3,14,0,5633,0
HTML,/docs/manual/misc/known_client_problems.html,known_client_problems.html,305,282,2,21,0,13729,0
C Header,/srclib/expat-lite/latin1tab.h,latin1tab.h,62,32,29,1,0,2969,0
Expect,/modules/proxy/libproxy.exp,libproxy.exp,1,1,0,0,0,13,0
C,/server/listen.c,listen.c,310,190,82,38,43,9150,0
HTML,/docs/manual/location.html,location.html,68,56,3,9,0,2151,0
HTML,/docs/manual/vhosts/mass.html,mass.html,412,312,12,88,0,14736,0
Expect,/modules/aaa/mod_access.exp,mod_access.exp,1,1,0,0,0,14,0
HTML,/docs/manual/mod/mod_access.html,mod_access.html,312,296,6,10,0,8575,0
Expect,/modules/mappers/mod_actions.exp,mod_actions.exp,1,1,0,0,0,14,0
HTML,/docs/manual/mod/mod_actions.html,mod_actions.html,126,117,3,6,0,3587,0
Expect,/modules/mappers/mod_alias.exp,mod_alias.exp,1,1,0,0,0,13,0
HTML,/docs/manual/mod/mod_alias.html,mod_alias.html,405,378,8,19,0,12189,0
Expect,/modules/generators/mod_asis.exp,mod_asis.exp,1,1,0,0,0,12,0
HTML,/docs/manual/mod/mod_asis.html,mod_asis.html,68,57,4,7,0,2438,0
Expect,/modules/aaa/mod_auth.exp,mod_auth.exp,1,1,0,0,0,12,0
HTML,/docs/manual/mod/mod_auth.html,mod_auth.html,201,169,6,26,0,6823,0
Expect,/modules/aaa/mod_auth_anon.exp,mod_auth_anon.exp,1,1,0,0,0,17,0
HTML,/docs/manual/mod/mod_auth_anon.html,mod_auth_anon.html,363,352,3,8,0,11148,0
HTML,/docs/manual/mod/mod_auth_db.html,mod_auth_db.html,220,187,6,27,0,8205,0
Expect,/modules/aaa/mod_auth_dbm.exp,mod_auth_dbm.exp,1,1,0,0,0,16,0
HTML,/docs/manual/mod/mod_auth_dbm.html,mod_auth_dbm.html,210,174,6,30,0,7583,0
Expect,/modules/generators/mod_autoindex.exp,mod_autoindex.exp,1,1,0,0,0,17,0
HTML,/docs/manual/mod/mod_autoindex.html,mod_autoindex.html,814,749,25,40,0,28715,0
Expect,/modules/metadata/mod_cern_meta.exp,mod_cern_meta.exp,1,1,0,0,0,17,0
HTML,/docs/manual/mod/mod_cern_meta.html,mod_cern_meta.html,143,124,3,16,0,4320,0
Expect,/modules/generators/mod_cgi.exp,mod_cgi.exp,1,1,0,0,0,11,0
HTML,/docs/manual/mod/mod_cgi.html,mod_cgi.html,216,178,5,33,0,6914,0
