Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Prolog,/support/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/generators/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/echo/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/os/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/loggers/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/server/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/metadata/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/filters/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/aaa/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/ssl/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/http/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/test/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/include/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/proxy/.indent.pro,.indent.pro,55,55,0,0,0,721,56
Prolog,/modules/mappers/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/test/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/experimental/.indent.pro,.indent.pro,54,54,0,0,0,701,55
Prolog,/modules/cache/.indent.pro,.indent.pro,54,54,0,0,0,701,55
HTML,/docs/manual/developer/API.html,API.html,1153,1014,3,136,0,49346,865
HTML,/docs/manual/misc/API.html,API.html,1153,1014,3,136,0,49346,865
Module-Definition,/ApacheCore.def,ApacheCore.def,384,260,121,3,0,9338,382
HTML,/docs/manual/misc/FAQ-A.html,FAQ-A.html,298,240,45,13,0,10277,203
HTML,/docs/manual/misc/FAQ-B.html,FAQ-B.html,408,350,45,13,0,16279,302
HTML,/docs/manual/misc/FAQ-C.html,FAQ-C.html,273,217,45,11,0,10263,200
HTML,/docs/manual/misc/FAQ-D.html,FAQ-D.html,396,332,45,19,0,15339,283
HTML,/docs/manual/misc/FAQ-E.html,FAQ-E.html,598,535,45,18,0,22555,412
HTML,/docs/manual/misc/FAQ-F.html,FAQ-F.html,524,462,45,17,0,19715,360
HTML,/docs/manual/misc/FAQ-G.html,FAQ-G.html,371,316,45,10,0,14299,269
HTML,/docs/manual/misc/FAQ-H.html,FAQ-H.html,265,207,45,13,0,9951,190
HTML,/docs/manual/misc/FAQ-I.html,FAQ-I.html,215,162,45,8,0,7904,158
HTML,/docs/manual/misc/FAQ.html,FAQ.html,111,37,71,3,0,5480,105
License,/docs/manual/LICENSE,LICENSE,59,56,0,3,0,2848,46
License,/LICENSE,LICENSE,59,56,0,3,0,2848,46
Shell,/build/MakeEtags,MakeEtags,39,3,26,10,0,1322,30
C++,/os/win32/MakeModuleMak.cpp,MakeModuleMak.cpp,59,55,0,4,11,987,45
Go Template,/os/win32/Module.mak.tmpl,Module.mak.tmpl,230,191,0,39,0,7074,146
Shell,/build/PrintPath,PrintPath,105,56,40,9,11,2131,81
Plain Text,/docs/icons/small/README.txt,README.txt,6,5,0,1,0,300,6
Shell,/os/tpf/TPFExport,TPFExport,7,5,2,0,0,259,8
C,/support/ab.c,ab.c,1128,816,187,125,123,33469,753
m4,/acinclude.m4,acinclude.m4,172,145,16,11,0,4058,123
C Header,/include/ap_config.h,ap_config.h,1480,1108,230,142,67,38837,776
C Header,/include/ap_listen.h,ap_listen.h,90,26,57,7,0,3901,72
C Header,/include/ap_mmn.h,ap_mmn.h,256,13,235,8,3,12944,230
C Header,/include/ap_mpm.h,ap_mpm.h,176,19,146,11,0,8112,138
Windows Resource-Definition Script,/os/win32/apache.rc,apache.rc,84,35,28,21,0,2003,39
Autoconf,/support/apxs.in,apxs.in,658,470,129,59,75,20173,465
C Header,/srclib/expat-lite/asciitab.h,asciitab.h,62,32,29,1,0,2916,57
C,/os/beos/beosd.c,beosd.c,217,114,75,28,26,7180,145
C Header,/os/beos/beosd.h,beosd.h,96,30,57,9,0,3812,76
Shell,/build/binbuild.sh,binbuild.sh,300,280,7,13,174,12150,224
HTML,/docs/manual/bind.html,bind.html,135,115,3,17,0,4635,97
C,/os/bs2000/bs2login.c,bs2login.c,297,152,95,50,34,9138,200
AWK,/build/build-modules-c.awk,build-modules-c.awk,55,55,0,0,3,1538,41
Shell,/buildconf,buildconf,127,94,12,21,18,3860,80
C,/server/buildmark.c,buildmark.c,70,11,56,3,1,3126,57
HTML,/docs/manual/cgi_path.html,cgi_path.html,93,75,3,15,0,3762,77
Perl,/test/check_chunked,check_chunked,42,29,8,5,3,935,28
HTML,/docs/manual/misc/client_block_api.html,client_block_api.html,87,69,3,15,0,3245,70
C,/test/cls.c,cls.c,166,140,13,13,59,3128,116
HTML,/docs/manual/misc/compat_notes.html,compat_notes.html,126,103,3,20,0,4836,96
Shell,/build/config-stubs,config-stubs,8,6,1,1,2,152,8
C,/server/config.c,config.c,1440,949,240,251,240,43262,843
m4,/server/mpm/config.m4,config.m4,72,62,0,10,0,2324,61
m4,/server/mpm/mpmt_pthread/config.m4,config.m4,15,11,0,4,0,367,12
m4,/modules/aaa/config.m4,config.m4,62,56,0,6,0,2319,55
m4,/os/config.m4,config.m4,8,6,0,2,0,185,7
m4,/server/config.m4,config.m4,55,43,1,11,0,1177,41
m4,/server/mpm/prefork/config.m4,config.m4,13,10,0,3,0,314,11
m4,/os/unix/config.m4,config.m4,9,8,0,1,0,194,10
m4,/server/mpm/dexter/config.m4,config.m4,10,8,0,2,0,259,9
Autoconf,/configure.in,configure.in,141,82,24,35,8,3133,106
C,/server/connection.c,connection.c,301,130,122,49,22,10203,219
HTML,/docs/manual/content-negotiation.html,content-negotiation.html,588,493,3,92,0,22509,423
Perl,/support/SHA1/convert-sha1.pl,convert-sha1.pl,36,21,6,9,6,934,27
HTML,/docs/manual/mod/core.html,core.html,3309,2875,69,365,0,118984,1634
HTML,/docs/manual/custom-error.html,custom-error.html,177,155,2,20,0,5449,126
HTML,/docs/manual/misc/custom_errordocs.html,custom_errordocs.html,431,401,3,27,0,19331,356
Perl,/support/dbmmanage,dbmmanage,189,109,68,12,2,6454,136
HTML,/docs/manual/misc/descriptors.html,descriptors.html,155,132,3,20,0,7132,131
HTML,/docs/manual/vhosts/details.html,details.html,373,300,3,70,0,16138,289
