Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,199112,139860,34444,24808,30870,6610870,263,0
Forth,79808,68752,0,11056,276,4173519,181,0
XML,70450,55583,4313,10554,0,2945963,239,0
C Header,24147,8745,12470,2932,125,882586,121,0
Extensible Stylesheet Language Transformations,7868,6736,0,1132,0,293490,37,0
Autoconf,5445,3130,1626,689,405,180491,73,0
HTML,3651,2944,8,699,0,103077,221,0
m4,2540,2174,69,297,0,83149,50,0
CSS,1972,1326,340,306,0,37613,6,0
Shell,1677,1139,388,150,180,51732,14,0
Prolog,922,922,0,0,0,11985,17,0
AWK,878,685,110,83,74,30517,7,0
License,749,633,0,116,0,37210,2,0
Perl,713,514,106,93,58,17404,5,0
Lua,466,311,95,60,37,13797,11,0
Document Type Definition,391,276,0,115,0,12108,6,0
LEX,363,262,61,40,0,8222,1,0
Plain Text,329,256,0,73,0,11978,6,0
D,324,308,9,7,0,12419,2,0
Happy,211,178,0,33,0,7483,1,0
Windows Resource-Definition Script,191,144,30,17,0,7097,2,0
Makefile,111,26,69,16,1,4677,5,0
TeX,80,26,45,9,0,2582,1,0
Expect,34,34,0,0,0,515,34,0
Module-Definition,19,12,3,4,0,291,1,0
Properties File,4,1,2,1,0,160,1,0
