Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Intel HEX,/firmware/qlogic/1040.bin.ihex,1040.bin.ihex,2111,2109,0,2,0,92633,2108
C,/drivers/net/wireless/mwifiex/11n.c,11n.c,737,496,146,95,57,22781,457
C Header,/drivers/net/wireless/mwifiex/11n.h,11n.h,163,112,35,16,9,5568,122
C,/drivers/net/wireless/mwifiex/11n_aggr.c,11n_aggr.c,311,184,83,44,22,9515,217
C Header,/drivers/net/wireless/mwifiex/11n_aggr.h,11n_aggr.h,33,11,18,4,0,1343,28
C,/drivers/net/wireless/mwifiex/11n_rxreorder.c,11n_rxreorder.c,609,387,151,71,53,18882,379
C Header,/drivers/net/wireless/mwifiex/11n_rxreorder.h,11n_rxreorder.h,66,41,18,7,0,2480,58
Intel HEX,/firmware/yam/1200.bin.ihex,1200.bin.ihex,342,342,0,0,0,14717,340
Intel HEX,/firmware/qlogic/12160.bin.ihex,12160.bin.ihex,1771,1769,0,2,0,77829,1769
Intel HEX,/firmware/qlogic/1280.bin.ihex,1280.bin.ihex,2008,2006,0,2,0,88220,2006
C,/drivers/net/ethernet/dec/tulip/21142.c,21142.c,257,210,28,19,99,8229,198
C,/drivers/tty/serial/21285.c,21285.c,511,383,45,83,59,11606,320
C Header,/drivers/staging/sbe-2t3e3/2t3e3.h,2t3e3.h,894,665,106,123,1,36423,740
C Header,/drivers/video/sis/300vtbl.h,300vtbl.h,1072,956,65,51,0,43771,696
C Header,/drivers/video/sis/310vtbl.h,310vtbl.h,1339,1222,67,50,0,59655,905
Plain Text,/Documentation/s390/3270.txt,3270.txt,272,216,0,56,0,10964,215
Intel HEX,/firmware/advansys/3550.bin.ihex,3550.bin.ihex,317,317,0,0,0,13916,318
C,/drivers/char/mwave/3780i.c,3780i.c,740,486,79,175,22,21485,337
C Header,/drivers/char/mwave/3780i.h,3780i.h,358,247,66,45,0,14180,269
Intel HEX,/firmware/advansys/38C0800.bin.ihex,38C0800.bin.ihex,336,336,0,0,0,14772,337
Intel HEX,/firmware/advansys/38C1600.bin.ihex,38C1600.bin.ihex,398,398,0,0,0,17504,399
C,/drivers/net/wireless/iwlegacy/3945-debug.c,3945-debug.c,505,443,42,20,7,19358,290
C,/drivers/net/wireless/iwlegacy/3945-mac.c,3945-mac.c,3976,2686,608,682,343,108838,2300
C,/drivers/net/wireless/iwlegacy/3945-rs.c,3945-rs.c,986,663,154,169,132,25684,606
C,/drivers/net/wireless/iwlegacy/3945.c,3945.c,2743,1884,474,385,195,77467,1785
C Header,/drivers/net/wireless/iwlegacy/3945.h,3945.h,607,331,175,101,0,20832,442
Intel HEX,/firmware/3com/3C359.bin.ihex,3C359.bin.ihex,1573,1572,0,1,0,69044,1570
Intel HEX,/firmware/cis/3CCFEM556.cis.ihex,3CCFEM556.cis.ihex,13,13,0,0,0,469,13
Intel HEX,/firmware/cis/3CXEM556.cis.ihex,3CXEM556.cis.ihex,13,13,0,0,0,463,13
C,/drivers/net/tokenring/3c359.c,3c359.c,1848,1174,328,346,178,59952,1090
C Header,/drivers/net/tokenring/3c359.h,3c359.h,291,201,48,42,0,7264,247
Plain Text,/Documentation/networking/3c359.txt,3c359.txt,58,43,0,15,0,2464,45
C,/drivers/net/ethernet/3com/3c501.c,3c501.c,896,423,347,126,90,23832,562
C Header,/drivers/net/ethernet/3com/3c501.h,3c501.h,91,58,16,17,0,2630,67
C,/drivers/net/ethernet/8390/3c503.c,3c503.c,778,559,123,96,109,22765,516
C Header,/drivers/net/ethernet/8390/3c503.h,3c503.h,91,44,31,16,0,3880,74
C,/drivers/net/ethernet/i825xx/3c505.c,3c505.c,1671,1039,414,218,238,48539,967
C Header,/drivers/net/ethernet/i825xx/3c505.h,3c505.h,292,193,62,37,0,6535,209
Plain Text,/Documentation/networking/3c505.txt,3c505.txt,45,36,0,9,0,1831,37
C,/drivers/net/ethernet/i825xx/3c507.c,3c507.c,939,587,204,148,92,28747,661
C,/drivers/net/ethernet/3com/3c509.c,3c509.c,1594,1169,198,227,157,42899,971
Plain Text,/Documentation/networking/3c509.txt,3c509.txt,214,159,0,55,0,9037,160
C,/drivers/net/ethernet/3com/3c515.c,3c515.c,1584,1192,227,165,227,49682,1118
C,/drivers/net/ethernet/i825xx/3c523.c,3c523.c,1312,861,261,190,127,39080,851
C Header,/drivers/net/ethernet/i825xx/3c523.h,3c523.h,355,195,121,39,0,11169,235
C,/drivers/net/ethernet/i825xx/3c527.c,3c527.c,1661,845,522,294,80,43118,972
C Header,/drivers/net/ethernet/i825xx/3c527.h,3c527.h,81,54,9,18,0,1443,58
C,/drivers/net/ethernet/3com/3c574_cs.c,3c574_cs.c,1181,831,175,175,97,34175,775
C,/drivers/net/ethernet/3com/3c589_cs.c,3c589_cs.c,944,705,101,138,109,26946,649
C,/drivers/net/ethernet/3com/3c59x.c,3c59x.c,3329,2511,381,437,452,104975,2160
C,/arch/arm/plat-mxc/3ds_debugboard.c,3ds_debugboard.c,196,133,32,31,11,5366,142
C Header,/arch/arm/plat-mxc/include/mach/3ds_debugboard.h,3ds_debugboard.h,18,4,11,3,0,538,14
C,/drivers/scsi/3w-9xxx.c,3w-9xxx.c,2350,1735,281,334,341,78107,1393
C Header,/drivers/scsi/3w-9xxx.h,3w-9xxx.h,686,567,80,39,2,26393,619
C,/drivers/scsi/3w-sas.c,3w-sas.c,1931,1375,241,315,202,60548,1173
C Header,/drivers/scsi/3w-sas.h,3w-sas.h,396,291,72,33,2,14024,341
C,/drivers/scsi/3w-xxxx.c,3w-xxxx.c,2459,1715,391,353,341,85827,1413
C Header,/drivers/scsi/3w-xxxx.h,3w-xxxx.h,435,317,83,35,5,16844,377
C,/arch/powerpc/mm/40x_mmu.c,40x_mmu.c,159,79,55,25,4,4488,114
C,/arch/powerpc/kvm/44x.c,44x.c,180,121,24,35,9,4207,116
C Header,/arch/powerpc/boot/44x.h,44x.h,16,5,9,2,0,448,14
C Header,/arch/powerpc/platforms/44x/44x.h,44x.h,11,8,0,3,0,303,9
C,/arch/powerpc/kvm/44x_emulate.c,44x_emulate.c,183,128,29,26,8,4488,120
C,/arch/powerpc/mm/44x_mmu.c,44x_mmu.c,255,165,57,33,20,6862,171
C,/arch/powerpc/kvm/44x_tlb.c,44x_tlb.c,524,349,77,98,45,14188,321
C Header,/arch/powerpc/kvm/44x_tlb.h,44x_tlb.h,86,52,19,15,0,2465,51
C,/drivers/net/wireless/iwlegacy/4965-calib.c,4965-calib.c,948,605,196,147,84,31102,661
C,/drivers/net/wireless/iwlegacy/4965-debug.c,4965-debug.c,746,681,40,25,7,30276,514
C,/drivers/net/wireless/iwlegacy/4965-mac.c,4965-mac.c,6515,4447,941,1127,596,180215,3698
C,/drivers/net/wireless/iwlegacy/4965-rs.c,4965-rs.c,2860,2026,449,385,440,82892,1723
C,/drivers/net/wireless/iwlegacy/4965.c,4965.c,2402,1758,327,317,219,65616,1610
C Header,/drivers/net/wireless/iwlegacy/4965.h,4965.h,1301,302,896,103,1,51627,988
C Header,/include/asm-generic/4level-fixup.h,4level-fixup.h,37,29,0,8,5,1028,30
C,/arch/powerpc/boot/4xx.c,4xx.c,803,585,98,120,70,20641,517
C Header,/arch/powerpc/boot/4xx.h,4xx.h,33,20,10,3,0,1247,29
C,/drivers/scsi/53c700.c,53c700.c,2178,1534,383,261,322,71092,1481
C Header,/drivers/scsi/53c700.h,53c700.h,524,404,72,48,11,16652,391
Plain Text,/Documentation/scsi/53c700.txt,53c700.txt,135,91,0,44,0,4534,92
C Header,/drivers/scsi/bnx2fc/57xx_hsi_bnx2fc.h,57xx_hsi_bnx2fc.h,990,636,212,142,0,21898,560
C Header,/drivers/scsi/bnx2i/57xx_iscsi_constants.h,57xx_iscsi_constants.h,158,101,33,24,0,7114,133
C Header,/drivers/scsi/bnx2i/57xx_iscsi_hsi.h,57xx_iscsi_hsi.h,1514,1339,119,56,0,37174,484
C,/drivers/video/68328fb.c,68328fb.c,504,346,108,50,47,13556,344
C,/drivers/tty/serial/68328serial.c,68328serial.c,1413,1003,189,221,178,33666,820
C Header,/drivers/tty/serial/68328serial.h,68328serial.h,186,92,70,24,2,6054,142
C,/drivers/staging/serial/68360serial.c,68360serial.c,2979,1836,716,427,303,75895,1712
C,/net/ieee802154/6lowpan.c,6lowpan.c,1239,834,203,202,132,33014,784
C Header,/net/ieee802154/6lowpan.h,6lowpan.h,235,115,87,33,56,8165,169
C,/drivers/net/hamradio/6pack.c,6pack.c,1038,726,115,197,117,25206,646
Plain Text,/Documentation/networking/6pack.txt,6pack.txt,175,133,0,42,0,7942,135
Assembly,/arch/powerpc/sysdev/6xx-suspend.S,6xx-suspend.S,52,31,12,9,0,1086,39
C Header,/include/linux/spi/74x164.h,74x164.h,9,6,1,2,0,162,8
C,/drivers/net/ethernet/amd/7990.c,7990.c,662,482,75,105,78,21775,441
C Header,/drivers/net/ethernet/amd/7990.h,7990.h,254,141,80,33,0,10421,196
C,/arch/mips/txx9/generic/7segled.c,7segled.c,115,91,11,13,10,2763,83
C,/drivers/net/ethernet/intel/e1000e/80003es2lan.c,80003es2lan.c,1515,886,392,237,117,41301,782
Go Template,/Documentation/DocBook/80211.tmpl,80211.tmpl,584,549,0,35,0,21155,423
C Header,/drivers/staging/vt6656/80211hdr.h,80211hdr.h,336,237,50,49,0,12339,267
C Header,/drivers/staging/vt6655/80211hdr.h,80211hdr.h,353,233,53,67,0,12838,264
C,/drivers/staging/vt6656/80211mgr.c,80211mgr.c,983,520,306,157,111,26680,267
C,/drivers/staging/vt6655/80211mgr.c,80211mgr.c,1028,552,306,170,110,28293,270
C Header,/drivers/staging/vt6655/80211mgr.h,80211mgr.h,827,568,109,150,0,22294,423
C Header,/drivers/staging/vt6656/80211mgr.h,80211mgr.h,848,599,110,139,0,23864,456
C,/drivers/net/ethernet/realtek/8139cp.c,8139cp.c,2071,1570,120,381,181,54916,1260
C,/drivers/net/ethernet/realtek/8139too.c,8139too.c,2622,1885,312,425,252,71053,1643
C,/arch/mips/kernel/8250-platform.c,8250-platform.c,46,33,7,6,0,1065,39
C,/drivers/tty/serial/8250/8250.c,8250.c,3357,2272,614,471,439,85609,1854
C Header,/drivers/tty/serial/8250/8250.h,8250.h,105,64,30,11,1,3365,84
C,/drivers/tty/serial/8250/8250_accent.c,8250_accent.c,45,31,8,6,0,1029,39
C,/drivers/tty/serial/8250/8250_acorn.c,8250_acorn.c,141,106,9,26,5,3194,100
C,/drivers/tty/serial/8250/8250_boca.c,8250_boca.c,59,45,8,6,0,1261,53
C,/drivers/tty/serial/8250/8250_dw.c,8250_dw.c,184,135,16,33,16,4522,121
C,/drivers/tty/serial/8250/8250_early.c,8250_early.c,287,216,29,42,26,7218,195
C,/drivers/tty/serial/8250/8250_exar_st16c554.c,8250_exar_st16c554.c,50,33,11,6,0,1151,43
C,/drivers/tty/serial/8250/8250_fourport.c,8250_fourport.c,51,37,8,6,0,1172,45
C,/drivers/tty/serial/8250/8250_fsl.c,8250_fsl.c,63,32,20,11,4,1804,48
