Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,11793998,8514267,1647387,1632344,1247102,321591603,17443,0
JSON,8919011,8919011,0,0,0,2137976879,1,0
C Header,2661440,1750219,581863,329358,30085,89623812,14412,0
Assembly,349883,262582,51399,35902,3396,8875258,1262,0
Plain Text,264741,204963,0,59778,0,9998300,1321,0
Intel HEX,109558,109546,0,12,0,4812811,111,0
Device Tree,84356,65689,9310,9357,0,2039404,431,0
XML,47246,43883,309,3054,0,1684955,153,0
Makefile,39141,25611,6946,6584,285,1226626,1604,0
Go Template,23178,20916,0,2262,0,797712,30,0
Perl,22109,17120,2392,2597,2134,575358,40,0
HEX,17207,17135,0,72,0,842018,26,0
Shell,7374,4834,1726,814,518,194096,76,0
Happy,4164,3646,0,518,0,86236,7,0
Python,3726,2889,314,523,431,115069,22,0
LEX,1993,1496,258,239,0,45838,7,0
C++,1789,1598,42,149,270,44390,1,0
License,1421,1176,0,245,0,75214,6,0
SVG,1389,1387,2,0,0,65830,5,0
LaTeX,1022,911,3,108,0,51371,1,0
AWK,897,714,94,89,221,22130,8,0
BASH,697,534,96,67,56,16185,35,0
LD Script,609,494,59,56,0,13083,17,0
Bazel,467,283,91,93,8,15003,1,0
HTML,436,378,0,58,0,16246,2,0
Scala,281,218,0,63,20,12158,1,0
Unreal Script,247,129,77,41,7,6143,2,0
Objective C++,244,189,0,55,8,10878,1,0
Autoconf,198,162,9,27,5,4245,6,0
ASP,170,137,0,33,9,4528,1,0
DOT,133,99,7,27,0,4873,4,0
C++ Header,125,59,55,11,2,3859,2,0
Extensible Stylesheet Language Transformations,110,97,0,13,0,3937,6,0
Vim Script,42,27,12,3,5,1355,1,0
sed,33,30,3,0,30,2073,1,0
Snakemake,26,14,6,6,0,1046,1,0
Module-Definition,7,7,0,0,1,128,1,0
