Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
Java,273501,153075,80965,39461,18565,9646712,1949,0
JavaScript,188239,144975,34498,8766,11774,5833800,789,0
HTML,21367,20210,936,221,0,891072,109,0
XML,18178,13474,2905,1799,0,701388,347,0
CSS,16617,15950,312,355,0,669887,36,0
Plain Text,8867,7803,0,1064,0,436860,291,0
Freemarker Template,7344,4546,2581,217,1061,254860,152,0
JavaServer Pages,5308,4609,144,555,30,159004,161,0
Properties File,2873,1888,822,163,0,219002,99,0
Document Type Definition,1931,1543,0,388,0,43538,20,0
SVG,576,576,0,0,0,217476,2,0
Extensible Stylesheet Language Transformations,231,217,0,14,0,8132,7,0
Markdown,40,23,0,17,0,5480,1,0
AsciiDoc,11,8,0,3,0,443,1,0
YAML,9,7,0,2,0,107,1,0
JSON,2,2,0,0,0,9682,2,0
