Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
License,/LICENSE,LICENSE,339,281,0,58,0,17987,0
Systemd,/test2/a.service,a.service,4,4,0,0,0,57,0
m4,/m4/attributes.m4,attributes.m4,311,275,0,36,0,10338,0
C,/automount.c,automount.c,121,73,21,27,3,3650,0
C Header,/automount.h,automount.h,65,33,19,13,0,1656,0
Systemd,/test2/b.service,b.service,3,3,0,0,0,37,0
Shell,/bootstrap.sh,bootstrap.sh,80,46,21,13,10,2237,0
Systemd,/test2/c.service,c.service,3,3,0,0,0,40,0
C,/cgroup.c,cgroup.c,523,352,36,135,92,13923,0
C Header,/cgroup.h,cgroup.h,83,33,26,24,0,2331,0
C,/cgroups-agent.c,cgroups-agent.c,72,39,19,14,8,2136,0
C,/conf-parser.c,conf-parser.c,386,280,22,84,39,9616,0
C Header,/conf-parser.h,conf-parser.h,54,19,26,9,0,2778,0
Systemd,/test2/d.service,d.service,5,5,0,0,0,80,0
C,/dbus-job.c,dbus-job.c,267,176,21,70,32,7879,0
C,/dbus-manager.c,dbus-manager.c,421,304,23,94,71,17559,0
C,/dbus-unit.c,dbus-unit.c,423,298,24,101,54,14263,0
C,/dbus.c,dbus.c,834,578,41,215,125,25873,0
C Header,/dbus.h,dbus.h,87,50,19,18,0,3827,0
C,/device.c,device.c,394,276,22,96,60,10620,0
C Header,/device.h,device.h,50,17,22,11,0,1304,0
Systemd,/test2/e.service,e.service,5,5,0,0,0,77,0
Systemd,/test1/exec-demo.service,exec-demo.service,9,8,0,1,0,197,0
C,/execute.c,execute.c,1071,760,68,243,180,33233,0
C Header,/execute.h,execute.h,182,123,31,28,0,5169,0
Systemd,/test2/f.service,f.service,2,2,0,0,0,21,0
Systemd,/test1/fifo-demo.service,fifo-demo.service,8,7,0,1,0,201,0
Systemd,/test1/fifo-demo.socket,fifo-demo.socket,6,5,0,1,0,180,0
Systemd,/test2/g.service,g.service,3,3,0,0,0,41,0
