Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
Plain Text,/test/sys/module/microcode/sections/.cpuinit.text,.cpuinit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/processor/sections/.cpuinit.text,.cpuinit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/iwl3945/sections/.devexit.text,.devexit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/e1000e/sections/.devexit.text,.devexit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/intel_agp/sections/.devexit.text,.devexit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/snd_hda_intel/sections/.devexit.text,.devexit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/pcspkr/sections/.devexit.text,.devexit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/rsrc_nonstatic/sections/.devexit.text,.devexit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/rtc_cmos/sections/.devinit.text,.devinit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/rsrc_nonstatic/sections/.devinit.text,.devinit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/pcmcia/sections/.devinit.text,.devinit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/pcspkr/sections/.devinit.text,.devinit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/intel_agp/sections/.devinit.text,.devinit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/e1000e/sections/.devinit.text,.devinit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/snd_hda_intel/sections/.devinit.text,.devinit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/yenta_socket/sections/.devinit.text,.devinit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/button/sections/.exit.text,.exit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/pcspkr/sections/.exit.text,.exit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/snd_pcm/sections/.exit.text,.exit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/pcmcia/sections/.exit.text,.exit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/battery/sections/.exit.text,.exit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/yenta_socket/sections/.exit.text,.exit.text,1,1,0,0,0,19,2
Plain Text,/test/sys/module/nvram/sections/.exit.text,.exit.text,1,1,0,0,0,19,2
