Language,Lines,Code,Comments,Blanks,Complexity,Bytes,Files,ULOC
C,471099,348030,21746,101323,77468,16067026,901,0
Plain Text,191212,158354,0,32858,0,5099184,8,0
XML,73976,61970,463,11543,0,3472531,303,0
C Header,49135,31598,8643,8894,737,1722163,604,0
Python,23786,22561,311,914,525,1463733,24,0
Meson,9770,8591,184,995,440,327309,50,0
Autoconf,8846,5901,1247,1698,210,313107,118,0
Shell,5776,4041,619,1116,266,166702,109,0
Systemd,4886,4459,0,427,0,135936,311,0
Markdown,3812,3073,0,739,0,196439,24,0
HTML,3097,3007,3,87,0,237444,3,0
BASH,2132,1626,274,232,364,67210,6,0
Perl,1815,1762,28,25,7,76742,2,0
Snakemake,1264,668,279,317,2,62435,45,0
m4,937,724,147,66,0,70227,13,0
Patch,502,402,0,100,0,10277,1,0
Extensible Stylesheet Language Transformations,346,308,0,38,0,12884,2,0
YAML,232,203,10,19,0,8201,6,0
JSON,141,128,0,13,0,2873,1,0
Bazel,101,58,29,14,21,4358,1,0
AWK,90,90,0,0,5,1911,9,0
CodeQL,54,39,13,2,9,1967,1,0
Emacs Lisp,42,30,9,3,0,1793,2,0
Dockerfile,37,16,12,9,0,1039,1,0
Makefile,33,23,0,10,0,891,4,0
Docker ignore,30,30,0,0,0,271,1,0
Vim Script,25,11,11,3,0,925,2,0
sed,1,1,0,0,0,27,1,0
